,address,elementary,middle,high_school
65,"131 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
66,"132 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
67,"133 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
68,"134 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
69,"135 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
70,"136 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
71,"137 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
72,"138 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
73,"139 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
74,"140 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
75,"141 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
76,"142 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
77,"143 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
78,"144 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
79,"145 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
80,"146 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
81,"147 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
82,"148 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
83,"149 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
84,"150 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
85,"151 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
86,"152 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
87,"153 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
88,"154 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
89,"155 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
90,"156 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
91,"157 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
92,"158 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
93,"159 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
94,"160 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
95,"161 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
96,"162 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
97,"163 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
98,"164 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
99,"165 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
100,"166 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
101,"167 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
102,"168 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
103,"169 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
104,"170 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
105,"171 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
106,"172 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
107,"173 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
108,"174 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
109,"175 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
110,"176 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
111,"177 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
112,"178 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
113,"179 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
114,"180 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
115,"181 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
116,"182 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
117,"183 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
118,"184 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
119,"185 Ackerman Ave Ridgewood, NJ",Orchard ,George Washington MS ,Ridgewood High School
