Street 	Side 	Low 	High 	Elementary 	Middle 	High School
Sheridan Ter 	All 	110 	157 	Ridge 	George Washington MS 	Ridgewood High School
Sherman Pl 	All 	17 	69 	Ridge 	George Washington MS 	Ridgewood High School
Sherwood Rd 	All 	33 	129 	Willard 	George Washington MS 	Ridgewood High School
Smith Pl 	All 	414 	540 	Willard 	George Washington MS 	Ridgewood High School
Sollas Ct 	All 	204 	268 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Somerville Rd 	All 	17 	149 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
South Broad St 	All 	6 	424 	Orchard 	George Washington MS 	Ridgewood High School
South Hill Rd 	All 	114 	134 	Ridge 	George Washington MS 	Ridgewood High School
South Hillside Pl 	All 	15 	36 	Ridge 	George Washington MS 	Ridgewood High School
South Irving St 	All 	10 	305 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
South Irving St 	All 	310 	384 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
South Maple Ave 	Even 	2 	286 	Orchard 	George Washington MS 	Ridgewood High School
South Maple Ave 	Odd 	21 	267 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
South Maple Ave 	Odd 	303 	371 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
South Monroe St 	All 	6 	71 	Ridge 	George Washington MS 	Ridgewood High School
South Murray Ave 	All 	20 	65 	Ridge 	George Washington MS 	Ridgewood High School
South Pleasant Ave 	All 	4 	316 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
South Pleasant Ave 	All 	320 	491 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
South Van Dien Ave 	All 	21 	299 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
South Van Dien Ave 	All 	305 	375 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Southern Pky 	All 	14 	126 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Spencer Pl 	All 	143 	211 	Orchard 	George Washington MS 	Ridgewood High School
Spring Ave 	All 	280 	294 	Orchard 	George Washington MS 	Ridgewood High School
Spring Ave 	All 	310 	725 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Standish Rd 	Even 	242 	262 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Stanley Pl 	All 	102 	112 	Ridge 	George Washington MS 	Ridgewood High School
Steilen Ave 	All 	202 	331 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Sterling Pl 	All 	413 	516 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Stevens Ave 	Even 	302 	302 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Stevens Ave 	Even 	308 	328 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Stevens Ave 	Odd 	309 	315 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Stevens Ave 	Odd 	319 	333 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Stevens Ave 	All 	352 	552 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Stilwell Pl 	All 	315 	333 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Stonycroft Rd 	All 	295 	429 	Orchard 	George Washington MS 	Ridgewood High School
Stratford Rd 	All 	810 	821 	Willard 	George Washington MS 	Ridgewood High School
Stuart St 	All 	427 	433 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Summit St 	All 	429 	534 	Willard 	George Washington MS 	Ridgewood High School
Sunset Ave 	All 	116 	243 	Ridge 	George Washington MS 	Ridgewood High School
Terhune Rd 	All 	625 	706 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
The By Way 	All 	230 	275 	Orchard 	George Washington MS 	Ridgewood High School
Theyken Pl 	All 	3 	27 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Thompson Pl 	All 	312 	316 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Unadilla Rd 	All 	122 	192 	Ridge 	George Washington MS 	Ridgewood High School
Undercliff Ct 	All 	98 	129 	Willard 	George Washington MS 	Ridgewood High School
Union St 	All 	127 	250 	Orchard 	George Washington MS 	Ridgewood High School
Upper Blvd 	All 	317 	775 	Willard 	George Washington MS 	Ridgewood High School
Valley View Ave 	All 	40 	161 	Ridge 	George Washington MS 	Ridgewood High School
Van Buren St 	All 	409 	568 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Van Dyke St 	All 	416 	564 	Willard 	George Washington MS 	Ridgewood High School
Van Emburgh Ave 	All 	231 	490 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Van Neste Sq 	All 	8 	8 	Orchard 	George Washington MS 	Ridgewood High School
Van Neste Sq 	All 	20 	20 	Orchard 	George Washington MS 	Ridgewood High School
Vesta Ct 	All 	306 	392 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Waiku Rd 	All 	132 	237 	Ridge 	George Washington MS 	Ridgewood High School
Wall St 	All 	618 	695 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Walthery Ave 	All 	15 	175 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Walthery Ave 	All 	201 	368 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Walton St 	All 	108 	215 	Orchard 	George Washington MS 	Ridgewood High School
Warren Pl 	All 	52 	94 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Washington Pl 	All 	29 	172 	Ridge 	George Washington MS 	Ridgewood High School
Wastena Ter 	All 	305 	463 	Ridge 	George Washington MS 	Ridgewood High School
Waverly Rd 	All 	620 	721 	Willard 	George Washington MS 	Ridgewood High School
Wellington Rd 	All 	570 	732 	Willard 	George Washington MS 	Ridgewood High School
West End Ave 	All 	112 	294 	Ridge 	George Washington MS 	Ridgewood High School
West End Ave 	All 	295 	397 	Orchard 	George Washington MS 	Ridgewood High School
West Glen Ave 	All 	4 	319 	Willard 	George Washington MS 	Ridgewood High School
West Ridgewood Ave 	All 	6 	360 	Ridge 	George Washington MS 	Ridgewood High School
West Saddle River Rd 	All 	460 	572 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Westbrook Rd 	All 	492 	659 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Westfield Ave 	All 	352 	369 	Travell 	Benjamin Franklin MS 	Ridgewood High School
Westgate Rd 	All 	295 	324 	Orchard 	George Washington MS 	Ridgewood High School
Wickam Way 	All 	836 	858 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Wildwood Rd 	All 	58 	95 	Ridge 	George Washington MS 	Ridgewood High School
William St 	All 	345 	413 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Willow Ct 	All 	308 	332 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Wilsey Sq 	All 	2 	36 	Ridge 	George Washington MS 	Ridgewood High School
Wilson St 	All 	70 	85 	Willard 	George Washington MS 	Ridgewood High School
Windsor Ter 	All 	309 	360 	Ridge 	George Washington MS 	Ridgewood High School
Witthill Rd 	All 	606 	713 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
Wood Hollow Ln 	All 	936 	942 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Woodbine Ct 	All 	300 	375 	Hawes 	Benjamin Franklin MS 	Ridgewood High School
Woodfield Ct 	All 	772 	776 	Willard 	George Washington MS 	Ridgewood High School
Woodland Ave 	All 	22 	223 	Ridge 	George Washington MS 	Ridgewood High School
Woodside Ave 	All 	111 	313 	Orchard 	George Washington MS 	Ridgewood High School
Wyndemere Ave 	All 	525 	689 	Somerville 	Benjamin Franklin MS 	Ridgewood High School
